Temperature - (Celsius), Year, Statistics, Country, ISO3
21.2968, 1901, Jan Average, Vietnam, VNM
18.9152, 1901, Feb Average, Vietnam, VNM
22.1279, 1901, Mar Average, Vietnam, VNM
25.7442, 1901, Apr Average, Vietnam, VNM
26.6313, 1901, May Average, Vietnam, VNM
27.2548, 1901, Jun Average, Vietnam, VNM
26.7964, 1901, Jul Average, Vietnam, VNM
26.2514, 1901, Aug Average, Vietnam, VNM
25.9587, 1901, Sep Average, Vietnam, VNM
25.0719, 1901, Oct Average, Vietnam, VNM
22.6421, 1901, Nov Average, Vietnam, VNM
19.8557, 1901, Dec Average, Vietnam, VNM
19.45, 1902, Jan Average, Vietnam, VNM
18.775, 1902, Feb Average, Vietnam, VNM
22.9151, 1902, Mar Average, Vietnam, VNM
25.5864, 1902, Apr Average, Vietnam, VNM
27.1811, 1902, May Average, Vietnam, VNM
27.5872, 1902, Jun Average, Vietnam, VNM
27.2524, 1902, Jul Average, Vietnam, VNM
26.9892, 1902, Aug Average, Vietnam, VNM
25.9343, 1902, Sep Average, Vietnam, VNM
24.8115, 1902, Oct Average, Vietnam, VNM
22.9597, 1902, Nov Average, Vietnam, VNM
21.5599, 1902, Dec Average, Vietnam, VNM
19.6757, 1903, Jan Average, Vietnam, VNM
19.9429, 1903, Feb Average, Vietnam, VNM
23.2532, 1903, Mar Average, Vietnam, VNM
26.278, 1903, Apr Average, Vietnam, VNM
27.0427, 1903, May Average, Vietnam, VNM
26.7587, 1903, Jun Average, Vietnam, VNM
26.9345, 1903, Jul Average, Vietnam, VNM
26.3702, 1903, Aug Average, Vietnam, VNM
25.3584, 1903, Sep Average, Vietnam, VNM
24.3862, 1903, Oct Average, Vietnam, VNM
21.2912, 1903, Nov Average, Vietnam, VNM
17.8769, 1903, Dec Average, Vietnam, VNM
17.7068, 1904, Jan Average, Vietnam, VNM
19.7499, 1904, Feb Average, Vietnam, VNM
21.7409, 1904, Mar Average, Vietnam, VNM
24.6168, 1904, Apr Average, Vietnam, VNM
26.4631, 1904, May Average, Vietnam, VNM
26.9389, 1904, Jun Average, Vietnam, VNM
26.8812, 1904, Jul Average, Vietnam, VNM
26.948, 1904, Aug Average, Vietnam, VNM
26.319, 1904, Sep Average, Vietnam, VNM
25.0549, 1904, Oct Average, Vietnam, VNM
21.856, 1904, Nov Average, Vietnam, VNM
19.1511, 1904, Dec Average, Vietnam, VNM
20.8691, 1905, Jan Average, Vietnam, VNM
20.8157, 1905, Feb Average, Vietnam, VNM
21.6865, 1905, Mar Average, Vietnam, VNM
25.4393, 1905, Apr Average, Vietnam, VNM
26.9876, 1905, May Average, Vietnam, VNM
27.1673, 1905, Jun Average, Vietnam, VNM
27.2715, 1905, Jul Average, Vietnam, VNM
27.2671, 1905, Aug Average, Vietnam, VNM
26.3826, 1905, Sep Average, Vietnam, VNM
25.0789, 1905, Oct Average, Vietnam, VNM
22.9593, 1905, Nov Average, Vietnam, VNM
23.1036, 1905, Dec Average, Vietnam, VNM
20.9051, 1906, Jan Average, Vietnam, VNM
21.8953, 1906, Feb Average, Vietnam, VNM
22.2532, 1906, Mar Average, Vietnam, VNM
26.2473, 1906, Apr Average, Vietnam, VNM
27.7746, 1906, May Average, Vietnam, VNM
27.7808, 1906, Jun Average, Vietnam, VNM
27.6021, 1906, Jul Average, Vietnam, VNM
27.5112, 1906, Aug Average, Vietnam, VNM
26.8041, 1906, Sep Average, Vietnam, VNM
24.5751, 1906, Oct Average, Vietnam, VNM
21.6973, 1906, Nov Average, Vietnam, VNM
20.7066, 1906, Dec Average, Vietnam, VNM
19.6797, 1907, Jan Average, Vietnam, VNM
20.5424, 1907, Feb Average, Vietnam, VNM
21.5156, 1907, Mar Average, Vietnam, VNM
24.924, 1907, Apr Average, Vietnam, VNM
26.2529, 1907, May Average, Vietnam, VNM
26.7974, 1907, Jun Average, Vietnam, VNM
27.0614, 1907, Jul Average, Vietnam, VNM
26.7196, 1907, Aug Average, Vietnam, VNM
26.1954, 1907, Sep Average, Vietnam, VNM
25.1393, 1907, Oct Average, Vietnam, VNM
22.9974, 1907, Nov Average, Vietnam, VNM
18.85, 1907, Dec Average, Vietnam, VNM
19.7417, 1908, Jan Average, Vietnam, VNM
20.1516, 1908, Feb Average, Vietnam, VNM
21.5729, 1908, Mar Average, Vietnam, VNM
25.0933, 1908, Apr Average, Vietnam, VNM
26.4724, 1908, May Average, Vietnam, VNM
26.9736, 1908, Jun Average, Vietnam, VNM
27.0436, 1908, Jul Average, Vietnam, VNM
26.7937, 1908, Aug Average, Vietnam, VNM
26.2196, 1908, Sep Average, Vietnam, VNM
24.8827, 1908, Oct Average, Vietnam, VNM
21.6606, 1908, Nov Average, Vietnam, VNM
20.2744, 1908, Dec Average, Vietnam, VNM
19.6301, 1909, Jan Average, Vietnam, VNM
20.8151, 1909, Feb Average, Vietnam, VNM
22.1534, 1909, Mar Average, Vietnam, VNM
25.2937, 1909, Apr Average, Vietnam, VNM
26.151, 1909, May Average, Vietnam, VNM
27.2587, 1909, Jun Average, Vietnam, VNM
26.8815, 1909, Jul Average, Vietnam, VNM
27.1291, 1909, Aug Average, Vietnam, VNM
26.5782, 1909, Sep Average, Vietnam, VNM
25.3054, 1909, Oct Average, Vietnam, VNM
22.0664, 1909, Nov Average, Vietnam, VNM
19.6688, 1909, Dec Average, Vietnam, VNM
20.2797, 1910, Jan Average, Vietnam, VNM
19.9046, 1910, Feb Average, Vietnam, VNM
21.3099, 1910, Mar Average, Vietnam, VNM
24.897, 1910, Apr Average, Vietnam, VNM
26.9532, 1910, May Average, Vietnam, VNM
27.0932, 1910, Jun Average, Vietnam, VNM
27.1324, 1910, Jul Average, Vietnam, VNM
27.0528, 1910, Aug Average, Vietnam, VNM
25.597, 1910, Sep Average, Vietnam, VNM
24.4646, 1910, Oct Average, Vietnam, VNM
22.3, 1910, Nov Average, Vietnam, VNM
18.7317, 1910, Dec Average, Vietnam, VNM
18.9105, 1911, Jan Average, Vietnam, VNM
20.1852, 1911, Feb Average, Vietnam, VNM
22.1793, 1911, Mar Average, Vietnam, VNM
25.2903, 1911, Apr Average, Vietnam, VNM
26.6209, 1911, May Average, Vietnam, VNM
27.4561, 1911, Jun Average, Vietnam, VNM
27.1138, 1911, Jul Average, Vietnam, VNM
27.2806, 1911, Aug Average, Vietnam, VNM
26.532, 1911, Sep Average, Vietnam, VNM
24.6671, 1911, Oct Average, Vietnam, VNM
23.5882, 1911, Nov Average, Vietnam, VNM
21.5188, 1911, Dec Average, Vietnam, VNM
19.4499, 1912, Jan Average, Vietnam, VNM
20.7968, 1912, Feb Average, Vietnam, VNM
22.9395, 1912, Mar Average, Vietnam, VNM
25.3842, 1912, Apr Average, Vietnam, VNM
27.9436, 1912, May Average, Vietnam, VNM
27.6182, 1912, Jun Average, Vietnam, VNM
26.8548, 1912, Jul Average, Vietnam, VNM
26.4859, 1912, Aug Average, Vietnam, VNM
25.655, 1912, Sep Average, Vietnam, VNM
24.4517, 1912, Oct Average, Vietnam, VNM
21.513, 1912, Nov Average, Vietnam, VNM
19.8733, 1912, Dec Average, Vietnam, VNM
18.9593, 1913, Jan Average, Vietnam, VNM
20.9795, 1913, Feb Average, Vietnam, VNM
21.6327, 1913, Mar Average, Vietnam, VNM
25.7064, 1913, Apr Average, Vietnam, VNM
25.9061, 1913, May Average, Vietnam, VNM
26.8143, 1913, Jun Average, Vietnam, VNM
26.5682, 1913, Jul Average, Vietnam, VNM
26.4685, 1913, Aug Average, Vietnam, VNM
25.9614, 1913, Sep Average, Vietnam, VNM
24.5468, 1913, Oct Average, Vietnam, VNM
21.9494, 1913, Nov Average, Vietnam, VNM
19.6734, 1913, Dec Average, Vietnam, VNM
19.3938, 1914, Jan Average, Vietnam, VNM
21.4161, 1914, Feb Average, Vietnam, VNM
22.6784, 1914, Mar Average, Vietnam, VNM
25.7016, 1914, Apr Average, Vietnam, VNM
27.611, 1914, May Average, Vietnam, VNM
27.0331, 1914, Jun Average, Vietnam, VNM
26.9228, 1914, Jul Average, Vietnam, VNM
26.5311, 1914, Aug Average, Vietnam, VNM
25.9415, 1914, Sep Average, Vietnam, VNM
24.583, 1914, Oct Average, Vietnam, VNM
22.5114, 1914, Nov Average, Vietnam, VNM
20.988, 1914, Dec Average, Vietnam, VNM
19.5256, 1915, Jan Average, Vietnam, VNM
21.8082, 1915, Feb Average, Vietnam, VNM
22.4024, 1915, Mar Average, Vietnam, VNM
25.9402, 1915, Apr Average, Vietnam, VNM
26.2738, 1915, May Average, Vietnam, VNM
27.1831, 1915, Jun Average, Vietnam, VNM
26.8841, 1915, Jul Average, Vietnam, VNM
27.2274, 1915, Aug Average, Vietnam, VNM
25.9028, 1915, Sep Average, Vietnam, VNM
25.1288, 1915, Oct Average, Vietnam, VNM
22.0584, 1915, Nov Average, Vietnam, VNM
19.0451, 1915, Dec Average, Vietnam, VNM
18.6774, 1916, Jan Average, Vietnam, VNM
20.3808, 1916, Feb Average, Vietnam, VNM
21.8524, 1916, Mar Average, Vietnam, VNM
25.4584, 1916, Apr Average, Vietnam, VNM
27.021, 1916, May Average, Vietnam, VNM
26.7428, 1916, Jun Average, Vietnam, VNM
27.0803, 1916, Jul Average, Vietnam, VNM
26.8774, 1916, Aug Average, Vietnam, VNM
26.0431, 1916, Sep Average, Vietnam, VNM
24.2715, 1916, Oct Average, Vietnam, VNM
21.5783, 1916, Nov Average, Vietnam, VNM
19.6007, 1916, Dec Average, Vietnam, VNM
18.5594, 1917, Jan Average, Vietnam, VNM
20.1489, 1917, Feb Average, Vietnam, VNM
20.9552, 1917, Mar Average, Vietnam, VNM
25.1261, 1917, Apr Average, Vietnam, VNM
26.5101, 1917, May Average, Vietnam, VNM
26.6998, 1917, Jun Average, Vietnam, VNM
26.7215, 1917, Jul Average, Vietnam, VNM
26.4671, 1917, Aug Average, Vietnam, VNM
26.0213, 1917, Sep Average, Vietnam, VNM
24.3812, 1917, Oct Average, Vietnam, VNM
22.1176, 1917, Nov Average, Vietnam, VNM
19.0736, 1917, Dec Average, Vietnam, VNM
18.1434, 1918, Jan Average, Vietnam, VNM
19.5784, 1918, Feb Average, Vietnam, VNM
21.7206, 1918, Mar Average, Vietnam, VNM
24.5842, 1918, Apr Average, Vietnam, VNM
26.0723, 1918, May Average, Vietnam, VNM
26.7111, 1918, Jun Average, Vietnam, VNM
27.3121, 1918, Jul Average, Vietnam, VNM
26.4105, 1918, Aug Average, Vietnam, VNM
26.3779, 1918, Sep Average, Vietnam, VNM
25.042, 1918, Oct Average, Vietnam, VNM
22.9152, 1918, Nov Average, Vietnam, VNM
21.6466, 1918, Dec Average, Vietnam, VNM
20.2489, 1919, Jan Average, Vietnam, VNM
20.5154, 1919, Feb Average, Vietnam, VNM
23.4771, 1919, Mar Average, Vietnam, VNM
25.7731, 1919, Apr Average, Vietnam, VNM
26.9168, 1919, May Average, Vietnam, VNM
27.2233, 1919, Jun Average, Vietnam, VNM
26.9466, 1919, Jul Average, Vietnam, VNM
27.1666, 1919, Aug Average, Vietnam, VNM
25.7915, 1919, Sep Average, Vietnam, VNM
24.2984, 1919, Oct Average, Vietnam, VNM
22.269, 1919, Nov Average, Vietnam, VNM
20.3882, 1919, Dec Average, Vietnam, VNM
18.7357, 1920, Jan Average, Vietnam, VNM
